"Composition or Attribute/Name";"Composition or Attribute/Occurrence";"Composition or Attribute/XPath";"Notes/EnhancedDefinition";"Class, data type of a composition or attribute/Name";"Class, data type of a composition or attribute/Codes";"Class, data type of a composition or attribute/Pattern";"Class, data type of a composition or attribute/TotalDigits";"Class, data type of a composition or attribute/FractionDigits";"Class, data type of a composition or attribute/MaxLength"
"OBReadStatement1";"";"OBReadStatement1";"";"OBReadStatement1";"";"";"";"";""
"Data";"1..1";"OBReadStatement1/Data";"";"OBReadDataStatement1";"";"";"";"";""
"Statement";"0..n";"OBReadStatement1/Data/Statement";"Provides further details on a statement resource.";"OBStatement1";"";"";"";"";""
"AccountId";"1..1";"OBReadStatement1/Data/Statement/AccountId";"A unique and immutable identifier used to identify the account resource. This identifier has no meaning to the account owner.";"Max40Text";"";"";"";"";"40"
"StatementId";"0..1";"OBReadStatement1/Data/Statement/StatementId";"Unique identifier for the statement resource within an servicing institution. This identifier is both unique and immutable.";"Max40Text";"";"";"";"";"40"
"StatementReference";"0..1";"OBReadStatement1/Data/Statement/StatementReference";"Unique reference for the statement. This reference may be optionally populated if available.";"Max35Text";"";"";"";"";"35"
"Type";"1..1";"OBReadStatement1/Data/Statement/Type";"Statement type, in a coded form.";"OBExternalStatementType1Code";"UK.OBIE.AccountClosure
UK.OBIE.AccountOpening
UK.OBIE.Annual
UK.OBIE.Interim
UK.OBIE.RegularPeriodic";"";"";"";"40"
"StartDateTime";"1..1";"OBReadStatement1/Data/Statement/StartDateTime";"Date and time at which the statement period starts.";"ISODateTime";"";"";"";"";""
"EndDateTime";"1..1";"OBReadStatement1/Data/Statement/EndDateTime";"Date and time at which the statement period ends.";"ISODateTime";"";"";"";"";""
"CreationDateTime";"1..1";"OBReadStatement1/Data/Statement/CreationDateTime";"Date and time at which the resource was created.";"ISODateTime";"";"";"";"";""
"StatementDescription";"0..n";"OBReadStatement1/Data/Statement/StatementDescription";"Other descriptions that may be available for the statement resource.";"Max500Text";"";"";"";"";"500"
"StatementBenefit";"0..n";"OBReadStatement1/Data/Statement/StatementBenefit";"Set of elements used to provide details of a benefit or reward amount for the statement resource.";"OBStatementBenefit1";"";"";"";"";""
"Type";"1..1";"OBReadStatement1/Data/Statement/StatementBenefit/Type";"Benefit type, in a coded form.";"OBExternalStatementBenefitType1Code";"UK.OBIE.Cashback
UK.OBIE.Insurance
UK.OBIE.TravelDiscount
UK.OBIE.TravelInsurance";"";"";"";"40"
"Amount";"1..1";"OBReadStatement1/Data/Statement/StatementBenefit/Amount";"Amount of money associated with the statement benefit type.";"OBActiveOrHistoricCurrencyAndAmount";"";"";"";"";""
"Amount";"1..1";"OBReadStatement1/Data/Statement/StatementBenefit/Amount/Amount";"A number of monetary units specified in an active currency where the unit of currency is explicit and compliant with ISO 4217.";"OBActiveCurrencyAndAmount_SimpleType";"";"^\d{1,13}\.\d{1,5}$";"";"";""
"Currency";"1..1";"OBReadStatement1/Data/Statement/StatementBenefit/Amount/Currency";"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";"";""
"StatementFee";"0..n";"OBReadStatement1/Data/Statement/StatementFee";"Set of elements used to provide details of a fee for the statement resource.";"OBStatementFee1";"";"";"";"";""
"CreditDebitIndicator";"1..1";"OBReadStatement1/Data/Statement/StatementFee/CreditDebitIndicator";"Indicates whether the amount is a credit or a debit. 
Usage: A zero amount is considered to be a credit amount.";"OBCreditDebitCode";"Credit
Debit";"";"";"";""
